,Country Code,Country,HDI,Total Cases,Total Deaths,Stringency Index,Population
200,USA,United States,0.924,746014098,26477574,3.350948669,19.61763693
27,BRA,Brazil,0.759,425704517,14340567,3.136027957,19.17473208
90,IND,India,0.64,407771615,7247327,3.610552115,21.04535251
157,RUS,Russia,0.816,132888951,2131571,3.380088191,18.79866817
150,PER,Peru,0.599489796,74882695,3020038,3.430126438,17.3111646
125,MEX,Mexico,0.774,74347548,7295850,3.019289405,18.67480153
178,ESP,Spain,0.887969388,73717676,5510624,3.393922273,17.66042712
175,ZAF,South Africa,0.608653061,63027659,1357682,3.364332991,17.8982664
42,COL,Colombia,0.581846939,60543682,1936134,3.357923045,17.74503716
199,GBR,United Kingdom,0.922,59475032,7249573,3.35388314,18.03334044
92,IRN,Iran,0.798,52421884,2914070,3.207064113,18.24624346
40,CHL,Chile,0.656622449,51268034,1283880,2.989193635,16.76604717
97,ITA,Italy,0.88,50752853,6664225,3.629838088,17.91752278
68,FRA,France,0.901,50084335,5633444,3.385793676,17.99409688
7,ARG,Argentina,0.707142857,47155234,1077426,3.475438016,17.62651421
73,DEU,Germany,0.936,42447678,1640691,3.284516144,18.24375196
194,TUR,Turkey,0.591904762,41431948,1049757,3.041418402,18.25035574
164,SAU,Saudi Arabia,0.673115646,38585191,442507,3.263360582,17.36552634
145,PAK,Pakistan,0.562,37738077,789557,3.385802074,19.21318595
15,BGD,Bangladesh,0.477714286,35266178,484534,3.186409533,18.91957173
93,IRQ,Iraq,0.685,25280332,744253,3.638259784,17.50993717
151,PHL,Philippines,0.699,22409936,448665,3.678102383,18.51217534
41,CHN,China,0.752,21632319,1066939,3.892553898,21.08743924
91,IDN,Indonesia,0.694,21570149,916111,3.640149364,19.42689854
35,CAN,Canada,0.926,20902374,1455549,3.286389159,17.44628825
155,QAT,Qatar,0.856,16351440,23820,3.561580439,14.87366884
96,ISR,Israel,0.903,16202474,126278,3.579313034,15.97371025
197,UKR,Ukraine,0.574744898,15805665,343334,3.098118095,17.59363088
